[32m[I 2022-10-19 21:24:26,992][0m A new study created in memory with name: no-name-b979582a-6232-42e5-b71b-3a2464e7b091[0m

total_number_of_episodes = 20, number_of_timesteps=20000, per_episode_reward = -569.05, episode_reward_trend_value=0.0
total_number_of_episodes = 1190, number_of_timesteps=1190000, per_episode_reward = -583.42, episode_reward_trend_value=-0.013497693928901652
total_number_of_episodes = 1200, number_of_timesteps=1200000, per_episode_reward = -583.82, episode_reward_trend_value=-0.01651530241854036
total_number_of_episodes = 1210, number_of_timesteps=1210000, per_episode_reward = -584.33, episode_reward_trend_value=-0.02347341458797448
total_number_of_episodes = 1220, number_of_timesteps=1220000, per_episode_reward = -584.14, episode_reward_trend_value=-0.02458279418813668
total_number_of_episodes = 1230, number_of_timesteps=1230000, per_episode_reward = -584.12, episode_reward_trend_value=-0.021694543885118694
total_number_of_episodes = 1240, number_of_timesteps=1240000, per_episode_reward = -584.08, episode_reward_trend_value=-0.021236106239372374
total_number_of_episodes = 1250, number_of_timesteps=1250000, per_episode_reward = -583.86, episode_reward_trend_value=-0.011103316443379502
total_number_of_episodes = 1260, number_of_timesteps=1260000, per_episode_reward = -583.95, episode_reward_trend_value=-0.0018823783038619188
total_number_of_episodes = 1270, number_of_timesteps=1270000, per_episode_reward = -583.95, episode_reward_trend_value=-0.004737555200327077
total_number_of_episodes = 1280, number_of_timesteps=1280000, per_episode_reward = -583.92, episode_reward_trend_value=-0.005560350629348755
total_number_of_episodes = 1290, number_of_timesteps=1290000, per_episode_reward = -584.20, episode_reward_trend_value=-0.004177749884629773
total_number_of_episodes = 1300, number_of_timesteps=1300000, per_episode_reward = -584.24, episode_reward_trend_value=0.0010061196618001609
total_number_of_episodes = 1310, number_of_timesteps=1310000, per_episode_reward = -584.39, episode_reward_trend_value=-0.0028560831331851154
total_number_of_episodes = 1320, number_of_timesteps=1320000, per_episode_reward = -584.56, episode_reward_trend_value=-0.004895989489568819
total_number_of_episodes = 1330, number_of_timesteps=1330000, per_episode_reward = -584.43, episode_reward_trend_value=-0.0038188757467474315
total_number_of_episodes = 1340, number_of_timesteps=1340000, per_episode_reward = -584.38, episode_reward_trend_value=-0.005848679335341936
total_number_of_episodes = 1350, number_of_timesteps=1350000, per_episode_reward = -584.38, episode_reward_trend_value=-0.004760280148448399
total_number_of_episodes = 1360, number_of_timesteps=1360000, per_episode_reward = -584.53, episode_reward_trend_value=-0.0065143003996948005
total_number_of_episodes = 1370, number_of_timesteps=1370000, per_episode_reward = -584.44, episode_reward_trend_value=-0.005803274482898107
total_number_of_episodes = 1380, number_of_timesteps=1380000, per_episode_reward = -584.62, episode_reward_trend_value=-0.0047224613200569365
total_number_of_episodes = 1390, number_of_timesteps=1390000, per_episode_reward = -584.36, episode_reward_trend_value=-0.0013968316601487155
total_number_of_episodes = 1400, number_of_timesteps=1400000, per_episode_reward = -584.42, episode_reward_trend_value=-0.0003104334720420512
total_number_of_episodes = 1410, number_of_timesteps=1410000, per_episode_reward = -584.35, episode_reward_trend_value=0.002398357592947933
total_number_of_episodes = 1420, number_of_timesteps=1420000, per_episode_reward = -584.52, episode_reward_trend_value=-0.0011068772526186877
total_number_of_episodes = 1430, number_of_timesteps=1430000, per_episode_reward = -584.81, episode_reward_trend_value=-0.004732489647597049
total_number_of_episodes = 1440, number_of_timesteps=1440000, per_episode_reward = -584.63, episode_reward_trend_value=-0.0027866421589894546
total_number_of_episodes = 1450, number_of_timesteps=1450000, per_episode_reward = -584.43, episode_reward_trend_value=0.0011770669188043334
total_number_of_episodes = 1460, number_of_timesteps=1460000, per_episode_reward = -584.50, episode_reward_trend_value=-0.0006608338084093803
total_number_of_episodes = 1470, number_of_timesteps=1470000, per_episode_reward = -584.62, episode_reward_trend_value=4.105464001769279e-05
total_number_of_episodes = 1480, number_of_timesteps=1480000, per_episode_reward = -519.70, episode_reward_trend_value=0.7185026973110831
total_number_of_episodes = 1490, number_of_timesteps=1490000, per_episode_reward = -519.47, episode_reward_trend_value=0.721631932938313
total_number_of_episodes = 1500, number_of_timesteps=1500000, per_episode_reward = -519.46, episode_reward_trend_value=0.720970945809385
total_number_of_episodes = 1510, number_of_timesteps=1510000, per_episode_reward = -519.69, episode_reward_trend_value=0.7204333553493775
total_number_of_episodes = 1520, number_of_timesteps=1520000, per_episode_reward = -519.71, episode_reward_trend_value=0.7233000437578199
total_number_of_episodes = 1530, number_of_timesteps=1530000, per_episode_reward = -519.53, episode_reward_trend_value=0.723328772221051
total_number_of_episodes = 1540, number_of_timesteps=1540000, per_episode_reward = -519.27, episode_reward_trend_value=0.7239157545700765
total_number_of_episodes = 1550, number_of_timesteps=1550000, per_episode_reward = -519.16, episode_reward_trend_value=0.7260459458310758
total_number_of_episodes = 1560, number_of_timesteps=1560000, per_episode_reward = -519.03, episode_reward_trend_value=0.7287920240763974
total_number_of_episodes = 1570, number_of_timesteps=1570000, per_episode_reward = -519.00, episode_reward_trend_value=0.007750299191198134
total_number_of_episodes = 1580, number_of_timesteps=1580000, per_episode_reward = -518.85, episode_reward_trend_value=0.006887480933390736
total_number_of_episodes = 1590, number_of_timesteps=1590000, per_episode_reward = -518.82, episode_reward_trend_value=0.007076233375856747
total_number_of_episodes = 1600, number_of_timesteps=1600000, per_episode_reward = -518.93, episode_reward_trend_value=0.00842000101815251
total_number_of_episodes = 1610, number_of_timesteps=1610000, per_episode_reward = -518.69, episode_reward_trend_value=0.011316163344885253
total_number_of_episodes = 1620, number_of_timesteps=1620000, per_episode_reward = -518.52, episode_reward_trend_value=0.011277616930914922
total_number_of_episodes = 1630, number_of_timesteps=1630000, per_episode_reward = -518.43, episode_reward_trend_value=0.009394620035182773
total_number_of_episodes = 1640, number_of_timesteps=1640000, per_episode_reward = -518.48, episode_reward_trend_value=0.007472098415787008
total_number_of_episodes = 1650, number_of_timesteps=1650000, per_episode_reward = -518.19, episode_reward_trend_value=0.009336051580524123
total_number_of_episodes = 1660, number_of_timesteps=1660000, per_episode_reward = -518.25, episode_reward_trend_value=0.008382243363581034
total_number_of_episodes = 1670, number_of_timesteps=1670000, per_episode_reward = -518.39, episode_reward_trend_value=0.0051472601824697345
total_number_of_episodes = 1680, number_of_timesteps=1680000, per_episode_reward = -518.33, episode_reward_trend_value=0.005420255372789345
total_number_of_episodes = 1690, number_of_timesteps=1690000, per_episode_reward = -518.05, episode_reward_trend_value=0.009767250401900027
total_number_of_episodes = 1700, number_of_timesteps=1700000, per_episode_reward = -517.79, episode_reward_trend_value=0.010087711236318835
total_number_of_episodes = 1710, number_of_timesteps=1710000, per_episode_reward = -517.69, episode_reward_trend_value=0.009192682937353109
total_number_of_episodes = 1720, number_of_timesteps=1720000, per_episode_reward = -517.80, episode_reward_trend_value=0.006966291990525203
total_number_of_episodes = 1730, number_of_timesteps=1730000, per_episode_reward = -517.98, episode_reward_trend_value=0.0055502571766775565
total_number_of_episodes = 1740, number_of_timesteps=1740000, per_episode_reward = -517.95, episode_reward_trend_value=0.002664381035191986
total_number_of_episodes = 1750, number_of_timesteps=1750000, per_episode_reward = -518.25, episode_reward_trend_value=1.9179959685465695e-06
total_number_of_episodes = 1760, number_of_timesteps=1760000, per_episode_reward = -518.13, episode_reward_trend_value=0.002874212298447926
total_number_of_episodes = 1770, number_of_timesteps=1770000, per_episode_reward = -518.08, episode_reward_trend_value=0.0028716769503300084
total_number_of_episodes = 1780, number_of_timesteps=1780000, per_episode_reward = -518.17, episode_reward_trend_value=-0.0013067292612908609
total_number_of_episodes = 1790, number_of_timesteps=1790000, per_episode_reward = -518.04, episode_reward_trend_value=-0.0027929929618949246
total_number_of_episodes = 1800, number_of_timesteps=1800000, per_episode_reward = -518.12, episode_reward_trend_value=-0.004839971462448981
total_number_of_episodes = 1810, number_of_timesteps=1810000, per_episode_reward = -518.06, episode_reward_trend_value=-0.0028850672372174005
total_number_of_episodes = 1820, number_of_timesteps=1820000, per_episode_reward = -517.94, episode_reward_trend_value=0.0005100194660700354
total_number_of_episodes = 1830, number_of_timesteps=1830000, per_episode_reward = -517.98, episode_reward_trend_value=-0.00030515651097226103
total_number_of_episodes = 1840, number_of_timesteps=1840000, per_episode_reward = -518.22, episode_reward_trend_value=0.0002431510151281044
total_number_of_episodes = 1850, number_of_timesteps=1850000, per_episode_reward = -518.16, episode_reward_trend_value=-0.00033985081632484555
total_number_of_episodes = 1860, number_of_timesteps=1860000, per_episode_reward = -518.11, episode_reward_trend_value=-0.00037847356277072525
total_number_of_episodes = 1870, number_of_timesteps=1870000, per_episode_reward = -518.44, episode_reward_trend_value=-0.0030092905754524205
total_number_of_episodes = 1880, number_of_timesteps=1880000, per_episode_reward = -518.57, episode_reward_trend_value=-0.005911845700957959
total_number_of_episodes = 1890, number_of_timesteps=1890000, per_episode_reward = -518.66, episode_reward_trend_value=-0.005906353776910894
total_number_of_episodes = 1900, number_of_timesteps=1900000, per_episode_reward = -518.50, episode_reward_trend_value=-0.0049008120079873955
total_number_of_episodes = 1910, number_of_timesteps=1910000, per_episode_reward = -518.51, episode_reward_trend_value=-0.006365720665918515
total_number_of_episodes = 1920, number_of_timesteps=1920000, per_episode_reward = -518.56, episode_reward_trend_value=-0.006472795556915874
total_number_of_episodes = 1930, number_of_timesteps=1930000, per_episode_reward = -518.46, episode_reward_trend_value=-0.002601991480546278
total_number_of_episodes = 1940, number_of_timesteps=1940000, per_episode_reward = -518.43, episode_reward_trend_value=-0.0030004482387097496
total_number_of_episodes = 1950, number_of_timesteps=1950000, per_episode_reward = -518.50, episode_reward_trend_value=-0.004353891655064975
total_number_of_episodes = 1960, number_of_timesteps=1960000, per_episode_reward = -518.48, episode_reward_trend_value=-0.0005051365802905316
total_number_of_episodes = 1970, number_of_timesteps=1970000, per_episode_reward = -518.59, episode_reward_trend_value=-0.0002231132275521001
total_number_of_episodes = 1980, number_of_timesteps=1980000, per_episode_reward = -518.49, episode_reward_trend_value=0.001852120071307834
total_number_of_episodes = 1990, number_of_timesteps=1990000, per_episode_reward = -518.76, episode_reward_trend_value=-0.002869678740670325
total_number_of_episodes = 2000, number_of_timesteps=2000000, per_episode_reward = -518.80, episode_reward_trend_value=-0.003173596427020837
total_number_of_episodes = 2010, number_of_timesteps=2010000, per_episode_reward = -518.78, episode_reward_trend_value=-0.0024857731011239696
total_number_of_episodes = 2020, number_of_timesteps=2020000, per_episode_reward = -518.67, episode_reward_trend_value=-0.002327254681570897
total_number_of_episodes = 2030, number_of_timesteps=2030000, per_episode_reward = -518.89, episode_reward_trend_value=-0.005085923065241281
total_number_of_episodes = 2040, number_of_timesteps=2040000, per_episode_reward = -518.63, episode_reward_trend_value=-0.0014731515220571764
total_number_of_episodes = 2050, number_of_timesteps=2050000, per_episode_reward = -518.58, episode_reward_trend_value=-0.0010952524451706975
total_number_of_episodes = 2060, number_of_timesteps=2060000, per_episode_reward = -518.55, episode_reward_trend_value=0.00046740642960811684
total_number_of_episodes = 2070, number_of_timesteps=2070000, per_episode_reward = -518.33, episode_reward_trend_value=0.0017164461184216231
total_number_of_episodes = 2080, number_of_timesteps=2080000, per_episode_reward = -518.21, episode_reward_trend_value=0.006133862674317293
total_number_of_episodes = 2090, number_of_timesteps=2090000, per_episode_reward = -518.07, episode_reward_trend_value=0.008025800627270503
total_number_of_episodes = 2100, number_of_timesteps=2100000, per_episode_reward = -518.03, episode_reward_trend_value=0.008383093139754137
total_number_of_episodes = 2110, number_of_timesteps=2110000, per_episode_reward = -518.16, episode_reward_trend_value=0.005606472277049255
total_number_of_episodes = 2120, number_of_timesteps=2120000, per_episode_reward = -518.15, episode_reward_trend_value=0.008222480137087335
total_number_of_episodes = 2130, number_of_timesteps=2130000, per_episode_reward = -518.10, episode_reward_trend_value=0.005923002447875408
total_number_of_episodes = 2140, number_of_timesteps=2140000, per_episode_reward = -518.04, episode_reward_trend_value=0.005986656880951261
total_number_of_episodes = 2150, number_of_timesteps=2150000, per_episode_reward = -518.17, episode_reward_trend_value=0.004239701803229915
total_number_of_episodes = 2160, number_of_timesteps=2160000, per_episode_reward = -518.25, episode_reward_trend_value=0.0009757897206655898
total_number_of_episodes = 2170, number_of_timesteps=2170000, per_episode_reward = -518.25, episode_reward_trend_value=-0.0004299572985499051
total_number_of_episodes = 2180, number_of_timesteps=2180000, per_episode_reward = -518.24, episode_reward_trend_value=-0.0018796791286882178
total_number_of_episodes = 2190, number_of_timesteps=2190000, per_episode_reward = -518.30, episode_reward_trend_value=-0.003035223188564689
total_number_of_episodes = 2200, number_of_timesteps=2200000, per_episode_reward = -518.30, episode_reward_trend_value=-0.0015680281140614879
total_number_of_episodes = 2210, number_of_timesteps=2210000, per_episode_reward = -518.38, episode_reward_trend_value=-0.002593273207264701
total_number_of_episodes = 2220, number_of_timesteps=2220000, per_episode_reward = -518.47, episode_reward_trend_value=-0.004142635310439699
total_number_of_episodes = 2230, number_of_timesteps=2230000, per_episode_reward = -518.48, episode_reward_trend_value=-0.0048144102278747086
total_number_of_episodes = 2240, number_of_timesteps=2240000, per_episode_reward = -518.42, episode_reward_trend_value=-0.0027982720971736954
total_number_of_episodes = 2250, number_of_timesteps=2250000, per_episode_reward = -518.36, episode_reward_trend_value=-0.001243004806671403
total_number_of_episodes = 2260, number_of_timesteps=2260000, per_episode_reward = -518.48, episode_reward_trend_value=-0.002609238653880968
total_number_of_episodes = 2270, number_of_timesteps=2270000, per_episode_reward = -518.45, episode_reward_trend_value=-0.0023476071129721276
total_number_of_episodes = 2280, number_of_timesteps=2280000, per_episode_reward = -518.71, episode_reward_trend_value=-0.004514808980801869
total_number_of_episodes = 2290, number_of_timesteps=2290000, per_episode_reward = -518.75, episode_reward_trend_value=-0.005005590469380018
total_number_of_episodes = 2300, number_of_timesteps=2300000, per_episode_reward = -518.67, episode_reward_trend_value=-0.0032113115242421173
total_number_of_episodes = 2310, number_of_timesteps=2310000, per_episode_reward = -518.74, episode_reward_trend_value=-0.0029390834463609078
total_number_of_episodes = 2320, number_of_timesteps=2320000, per_episode_reward = -518.57, episode_reward_trend_value=-0.000997014487189871
total_number_of_episodes = 2330, number_of_timesteps=2330000, per_episode_reward = -518.53, episode_reward_trend_value=-0.0012607540194898724
total_number_of_episodes = 2340, number_of_timesteps=2340000, per_episode_reward = -518.35, episode_reward_trend_value=8.336059502198623e-05
total_number_of_episodes = 2350, number_of_timesteps=2350000, per_episode_reward = -518.36, episode_reward_trend_value=0.0012981798496033057
total_number_of_episodes = 2360, number_of_timesteps=2360000, per_episode_reward = -518.37, episode_reward_trend_value=0.0009532569882266115
total_number_of_episodes = 2370, number_of_timesteps=2370000, per_episode_reward = -518.33, episode_reward_trend_value=0.004133129326328344
total_number_of_episodes = 2380, number_of_timesteps=2380000, per_episode_reward = -518.40, episode_reward_trend_value=0.003932755748571203
total_number_of_episodes = 2390, number_of_timesteps=2390000, per_episode_reward = -518.39, episode_reward_trend_value=0.0031887271316337422
total_number_of_episodes = 2400, number_of_timesteps=2400000, per_episode_reward = -518.43, episode_reward_trend_value=0.003375739382986214
total_number_of_episodes = 2410, number_of_timesteps=2410000, per_episode_reward = -518.52, episode_reward_trend_value=0.00048224981063135097
total_number_of_episodes = 2420, number_of_timesteps=2420000, per_episode_reward = -518.54, episode_reward_trend_value=-0.00010712877039825093
total_number_of_episodes = 2430, number_of_timesteps=2430000, per_episode_reward = -518.64, episode_reward_trend_value=-0.0032409702342811723
total_number_of_episodes = 2440, number_of_timesteps=2440000, per_episode_reward = -518.58, episode_reward_trend_value=-0.002336243937491468
total_number_of_episodes = 2450, number_of_timesteps=2450000, per_episode_reward = -518.56, episode_reward_trend_value=-0.0021252428307004974
total_number_of_episodes = 2460, number_of_timesteps=2460000, per_episode_reward = -518.53, episode_reward_trend_value=-0.002124763694492534
total_number_of_episodes = 2470, number_of_timesteps=2470000, per_episode_reward = -518.51, episode_reward_trend_value=-0.0012149994343758409
total_number_of_episodes = 2480, number_of_timesteps=2480000, per_episode_reward = -518.70, episode_reward_trend_value=-0.003493428520439718
total_number_of_episodes = 2490, number_of_timesteps=2490000, per_episode_reward = -518.63, episode_reward_trend_value=-0.002156359313327509
total_number_of_episodes = 2500, number_of_timesteps=2500000, per_episode_reward = -518.73, episode_reward_trend_value=-0.002288013190795684
total_number_of_episodes = 2510, number_of_timesteps=2510000, per_episode_reward = -518.71, episode_reward_trend_value=-0.0018820685515392043
total_number_of_episodes = 2520, number_of_timesteps=2520000, per_episode_reward = -518.83, episode_reward_trend_value=-0.0020524400021132453
total_number_of_episodes = 2530, number_of_timesteps=2530000, per_episode_reward = -518.66, episode_reward_trend_value=-0.0009081580084777366
total_number_of_episodes = 2540, number_of_timesteps=2540000, per_episode_reward = -518.76, episode_reward_trend_value=-0.0022674351065360395
total_number_of_episodes = 2550, number_of_timesteps=2550000, per_episode_reward = -518.85, episode_reward_trend_value=-0.0035859457009387876
total_number_of_episodes = 2560, number_of_timesteps=2560000, per_episode_reward = -518.99, episode_reward_trend_value=-0.0052815347741531895
total_number_of_episodes = 2570, number_of_timesteps=2570000, per_episode_reward = -518.92, episode_reward_trend_value=-0.0024703190262218614
total_number_of_episodes = 2580, number_of_timesteps=2580000, per_episode_reward = -518.89, episode_reward_trend_value=-0.0028809203616080798
total_number_of_episodes = 2590, number_of_timesteps=2590000, per_episode_reward = -518.97, episode_reward_trend_value=-0.0027195285637251093
total_number_of_episodes = 2600, number_of_timesteps=2600000, per_episode_reward = -518.90, episode_reward_trend_value=-0.002121930638178229
Process Process-47:
Traceback (most recent call last):
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 581, in run_func
    if profile:
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 550, in f
    if use_shared_memory:
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 157, in train_loop
  File "/usr/lib/python3.8/threading.py", line 619, in wait
    self._wait(timeout)
  File "/usr/lib/python3.8/threading.py", line 654, in _wait
    if not self._cond.wait_for(lambda : self._state != 0, timeout):
  File "/usr/lib/python3.8/multiprocessing/synchronize.py", line 313, in wait_for
    self.wait(waittime)
  File "/usr/lib/python3.8/multiprocessing/synchronize.py", line 261, in wait
    return self._wait_semaphore.acquire(True, timeout)
KeyboardInterrupt

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/usr/lib/python3.8/multiprocessing/process.py", line 315, in _bootstrap
    self.run()
  File "/usr/lib/python3.8/multiprocessing/process.py", line 108, in run
    self._target(*self._args, **self._kwargs)
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 582, in run_func
    import cProfile
NameError: name 'BrokenBarrierError' is not defined
Process Process-46:
Traceback (most recent call last):
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 581, in run_func
    if profile:
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 550, in f
    if use_shared_memory:
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 146, in train_loop
    while True:
  File "/home/jeffhykin/repos/bizav2/pfrl/agents/a3c.py", line 283, in act
    return self._act_train(obs)
  File "/home/jeffhykin/repos/bizav2/pfrl/agents/a3c.py", line 310, in _act_train
    pout, vout = self.model(statevar)
  File "/home/jeffhykin/.local/lib/python3.8/site-packages/torch/nn/modules/module.py", line 1110, in _call_impl
    return forward_call(*input, **kwargs)
  File "/home/jeffhykin/.local/lib/python3.8/site-packages/torch/nn/modules/container.py", line 141, in forward
    input = module(input)
  File "/home/jeffhykin/.local/lib/python3.8/site-packages/torch/nn/modules/module.py", line 1110, in _call_impl
    return forward_call(*input, **kwargs)
  File "/home/jeffhykin/.local/lib/python3.8/site-packages/torch/nn/modules/linear.py", line 103, in forward
    return F.linear(input, self.weight, self.bias)
KeyboardInterrupt

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/usr/lib/python3.8/multiprocessing/process.py", line 315, in _bootstrap
    self.run()
  File "/usr/lib/python3.8/multiprocessing/process.py", line 108, in run
    self._target(*self._args, **self._kwargs)
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 582, in run_func
    import cProfile
NameError: name 'BrokenBarrierError' is not defined
[33m[W 2022-10-19 22:23:42,239][0m Trial 4 failed because of the following error: KeyboardInterrupt()[0m
Traceback (most recent call last):
  File "/home/jeffhykin/.local/lib/python3.8/site-packages/optuna/study/_optimize.py", line 196, in _run_trial
    value_or_values = func(trial)
  File "./main/0_hyp_tuning.py", line 49, in objective
    fitness_value = np.round(train_a3c.train_a3c(args), 2)
  File "/home/jeffhykin/repos/bizav2/examples/atari/reproduction/a3c/train_a3c.py", line 263, in train_a3c
    experiments.train_agent_async(
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 596, in train_agent_async
  File "/home/jeffhykin/repos/bizav2/pfrl/utils/async_.py", line 28, in run_async
    each_process.join()
  File "/usr/lib/python3.8/multiprocessing/process.py", line 149, in join
    res = self._popen.wait(timeout)
  File "/usr/lib/python3.8/multiprocessing/popen_fork.py", line 47, in wait
    return self.poll(os.WNOHANG if timeout == 0.0 else 0)
  File "/usr/lib/python3.8/multiprocessing/popen_fork.py", line 27, in poll
    pid, sts = os.waitpid(self.pid, flag)
KeyboardInterrupt
Process Process-45:
Traceback (most recent call last):
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 581, in run_func
    if profile:
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 550, in f
    if use_shared_memory:
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 146, in train_loop
    while True:
  File "/home/jeffhykin/repos/bizav2/pfrl/agents/a3c.py", line 283, in act
    return self._act_train(obs)
  File "/home/jeffhykin/repos/bizav2/pfrl/agents/a3c.py", line 303, in _act_train
    statevar = self.batch_states([obs], self.device, self.phi)
  File "/home/jeffhykin/repos/bizav2/pfrl/utils/batch_states.py", line 33, in batch_states
    collated_features = default_collate(features)
  File "/home/jeffhykin/.local/lib/python3.8/site-packages/torch/utils/data/_utils/collate.py", line 146, in default_collate
    return default_collate([torch.as_tensor(b) for b in batch])
  File "/home/jeffhykin/.local/lib/python3.8/site-packages/torch/utils/data/_utils/collate.py", line 138, in default_collate
    return torch.stack(batch, 0, out=out)
KeyboardInterrupt

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/usr/lib/python3.8/multiprocessing/process.py", line 315, in _bootstrap
    self.run()
  File "/usr/lib/python3.8/multiprocessing/process.py", line 108, in run
    self._target(*self._args, **self._kwargs)
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 582, in run_func
    import cProfile
NameError: name 'BrokenBarrierError' is not defined
Process Process-44:
Traceback (most recent call last):
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 581, in run_func
    if profile:
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 550, in f
    if use_shared_memory:
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 146, in train_loop
    while True:
  File "/home/jeffhykin/repos/bizav2/pfrl/agents/a3c.py", line 283, in act
    return self._act_train(obs)
  File "/home/jeffhykin/repos/bizav2/pfrl/agents/a3c.py", line 322, in _act_train
    float(pout.entropy()) - self.average_entropy
  File "/home/jeffhykin/.local/lib/python3.8/site-packages/torch/distributions/independent.py", line 95, in entropy
    entropy = self.base_dist.entropy()
  File "/home/jeffhykin/.local/lib/python3.8/site-packages/torch/distributions/normal.py", line 88, in entropy
    return 0.5 + 0.5 * math.log(2 * math.pi) + torch.log(self.scale)
KeyboardInterrupt

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/usr/lib/python3.8/multiprocessing/process.py", line 315, in _bootstrap
    self.run()
  File "/usr/lib/python3.8/multiprocessing/process.py", line 108, in run
    self._target(*self._args, **self._kwargs)
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 582, in run_func
    import cProfile
NameError: name 'BrokenBarrierError' is not defined
Process Process-50:
Traceback (most recent call last):
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 581, in run_func
    if profile:
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 550, in f
    if use_shared_memory:
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 146, in train_loop
    while True:
  File "/home/jeffhykin/repos/bizav2/pfrl/agents/a3c.py", line 283, in act
    return self._act_train(obs)
  File "/home/jeffhykin/repos/bizav2/pfrl/agents/a3c.py", line 310, in _act_train
    pout, vout = self.model(statevar)
  File "/home/jeffhykin/.local/lib/python3.8/site-packages/torch/nn/modules/module.py", line 1110, in _call_impl
    return forward_call(*input, **kwargs)
  File "/home/jeffhykin/.local/lib/python3.8/site-packages/torch/nn/modules/container.py", line 141, in forward
    input = module(input)
  File "/home/jeffhykin/.local/lib/python3.8/site-packages/torch/nn/modules/module.py", line 1110, in _call_impl
    return forward_call(*input, **kwargs)
  File "/home/jeffhykin/.local/lib/python3.8/site-packages/torch/nn/modules/linear.py", line 103, in forward
    return F.linear(input, self.weight, self.bias)
KeyboardInterrupt

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/usr/lib/python3.8/multiprocessing/process.py", line 315, in _bootstrap
    self.run()
  File "/usr/lib/python3.8/multiprocessing/process.py", line 108, in run
    self._target(*self._args, **self._kwargs)
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 582, in run_func
    import cProfile
NameError: name 'BrokenBarrierError' is not defined
Process Process-48:
Traceback (most recent call last):
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 581, in run_func
    if profile:
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 550, in f
    if use_shared_memory:
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 146, in train_loop
    while True:
  File "/home/jeffhykin/repos/bizav2/pfrl/agents/a3c.py", line 283, in act
    return self._act_train(obs)
  File "/home/jeffhykin/repos/bizav2/pfrl/agents/a3c.py", line 310, in _act_train
    pout, vout = self.model(statevar)
  File "/home/jeffhykin/.local/lib/python3.8/site-packages/torch/nn/modules/module.py", line 1110, in _call_impl
    return forward_call(*input, **kwargs)
  File "/home/jeffhykin/.local/lib/python3.8/site-packages/torch/nn/modules/container.py", line 141, in forward
    input = module(input)
  File "/home/jeffhykin/.local/lib/python3.8/site-packages/torch/nn/modules/module.py", line 1110, in _call_impl
    return forward_call(*input, **kwargs)
  File "/home/jeffhykin/.local/lib/python3.8/site-packages/torch/nn/modules/activation.py", line 670, in forward
    return F.gelu(input)
KeyboardInterrupt

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/usr/lib/python3.8/multiprocessing/process.py", line 315, in _bootstrap
    self.run()
  File "/usr/lib/python3.8/multiprocessing/process.py", line 108, in run
    self._target(*self._args, **self._kwargs)
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 582, in run_func
    import cProfile
NameError: name 'BrokenBarrierError' is not defined
Process Process-49:
Traceback (most recent call last):
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 581, in run_func
    if profile:
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 550, in f
    if use_shared_memory:
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 146, in train_loop
    while True:
  File "/home/jeffhykin/repos/bizav2/pfrl/agents/a3c.py", line 283, in act
    return self._act_train(obs)
  File "/home/jeffhykin/repos/bizav2/pfrl/agents/a3c.py", line 315, in _act_train
    action = self.get_a3c_act(pout)
